담당,QA
NONGBU,"농지를 구매하지 않고 임대를 해도 괜찮을까요?
원칙적으로 농지임대차는 금지되어 있으나, 농지법상 예외적으로 임대를 허용하고 있습니다.
따라서 농지법상 임대가 허용된 농지를 임차하여 농사를 지을 수 있습니다."
NONGBU,"농지 임대 절차는 어떻게 되나요?
농지 임대 절차는 간단합니다.
먼저 저희 서비스에 회원가입을 하시고, 임대하고자 하는 농지를 선택하신 후 신청서를 작성하시면 됩니다."
NONGBU," 농지 임대 절차는 간단합니다.
먼저 저희 서비스에 회원가입을 하시고, 임대하고자 하는 농지를 선택하신 후 신청서를 작성하시면 됩니다.
귀농교육은 온/오프라인으로 수강이 가능합니다.
온라인교육은 농업교육포털(http://agriedu.net)과 농촌진흥청 농촌인적자원개발센터(http://hrd.rda.go.kr)에서 수강하실 수 있습니다.
오프라인교육은 농림축산식품부, 농촌진흥청, 산림청 및 지자체가 주관 또는 위탁하는 교육과정으로, 농업교육포털에 등록되어 수료증이 발급되는 경우만 인정됩니다.
특히 온라인 교육은 전체 수료시간의 50%만 인정이 되며, 최대 40시간 까지만 인정이 됩니다."
NONGBU,"농지 임대 시 고려해야 할 사항은 무엇인가요?
농지 임대 시에는 토양 상태, 접근성, 물 공급, 주변 인프라 등을 고려해야 합니다.
이러한 요소들이 농작물 재배에 중요한 영향을 미칩니다."
NONGBU,"농지 임대 시 계약 기간은 어떻게 되나요?
농지 임대 계약 기간은 최소 1년부터 최대 5년까지 가능합니다.
계약 기간은 임차인과 협의하여 조정할 수 있습니다."
NONGBU,"농지 임대 후 농작물 재배 지원은 어떻게 받나요?
농지 임대 후에는 저희 서비스에서 제공하는 농작물 재배 지원 프로그램을 통해 다양한 도움을 받을 수 있습니다.
종자, 비료, 농기계 대여 등 다양한 지원을 제공합니다."
NONGBU,"농지 임대 후 관리 비용은 어떻게 되나요?
농지 임대 후 관리 비용은 임차인이 부담해야 합니다.
관리 비용에는 농작물 재배에 필요한 모든 비용이 포함됩니다."
NONGBU,"농지 임대 후 중도 해약 시 위약금이 있나요?
농지 임대 후 중도 해약 시 위약금이 발생할 수 있습니다.
위약금은 계약서에 명시된 조건에 따라 다르며, 중도 해약 전에 반드시 확인하시기 바랍니다."
NONGBU,"소유농지를 타인에게 위탁하여 영농하는 것이 가능한가요?
전부위탁은 징집 등 불가피한 경우에만 가능합니다. 
그러나, 자기 노동력이 부족한 경우의 일부위탁은 가능합니다."
NONGBU,"주말,체험영농목적으로 농업진흥지역 내 농지 취득이 가능한가요?
주말, 체험영농목적으로 농업진흥지역 내 농지는 취득이 불가능하나
농업진흥지역 외 농지는 취득이 가능합니다.(2021.08.17시행)"
NONGBU,"정부에서 보유한 토지도 임대가 가능한가요?
정부보유 토지(농지) 임대 가능여부는 한국 농어촌공사에서 '맞춤형 농지지원사업'을
추진하고 있으므로 자세한 내용은 농지은행포털(WWW.fbo.or.kr)또는
한국농어촌공사(1544-7770)로 연락하시면 귀농지역 한국농어촌공사 해당지사에서
상담이 가능합니다."
NONGBU,"농지의 취득과 농지취득자격증명이 궁금합니다?
농지를 취득하기 위해서는 매수자가 농지취득자격증명을 발급받아야 합니다.
이는 농지매수인의 농지소유자격과 소유 상한을 확인,심사하여 적격자에게만 농지의 취득을 허용함으로써
비 농업인의 투기적 농지소유를 방지하고 경자유전을 실현하기 위함입니다."
NONGBU,"농지취득 자격증명은 어떻게 발급받나요?
농지취득 자격증명을 발급받고자 하는 자는 신청서와 농업경영계획서를 작성하여 당해 농지의 소재지를 
관할하는 시,구,읍,면장에게 신청하면 됩니다. 단, 주말,체험영농 목적으로 1,000m^2 미만 취득할 경우에는 
농업경영계획서를 작성하지 않아도 됩니다."
NONGBU,"농지를 구매하지 않고 임대를 해도 괜찮나요?
원칙적으로 농지임대차는 금지되어 있으나, 농지법상 예외적으로 임대를 허용하고 있습니다.
따라서 농지법상 임대가 허용된 농지를 임차하여 농사를 지을 수 있습니다."
NONGBU,"주택 및 부속시설의 대지 중 일부를 텃밭으로 사용하는 경우 농지라고 할 수 있나요?
농지법 제 2조 제1항 가목 단서 및 동법 시행령 제2조 제2항 제1호에 의거해 3년이상 농작물의 재배지로 
이용되는 토지에 한해서 농지로 인정하고 있으나 주택이 있는 대지의 일부를 텃밭으로 사용하는 경우에는 
그 주택이나 부속시설의 대지가 일부 텃밭으로 이용된다고 하더라도 이는 대지의 부수적이고 잠정적 용도에
지나지 않는 것이어서 농지에 해당한다고 보기는 어렵습니다."
